modelo,km,precio,pintura
Model S , 2496 km,82.010 €,Blanco Perla Multicapas
Model S , 6196 km,88.990 €,Azul Oscuro Metalizado
Model S , 757 km,90.630 €,Azul Oscuro Metalizado
Model S , 499 km,90.810 €,Negro Sólido
Model S , 879 km,91.500 €,Pintura en color Gris Sigilo
Model S , 28 km,92.030 €,Pintura en color Gris Sigilo
Model S , 17 km,97.990 €,Color Plateado Lunar
Model S , 503 km,99.600 €,Blanco Perla Multicapas
Model S , 3652 km,101.480 €,Negro Sólido
Model S , 99 km,102.270 €,Blanco Perla Multicapas
Model S ,0,102.270 €,Blanco Perla Multicapas
Model S , 1700 km,102.540 €,Negro Sólido
Model S , 0 km,102.840 €,Pintura en color Gris Sigilo
Model S , 25 km,112.280 €,Color Plateado Lunar
Model S , 21 km,116.120 €,Azul Oscuro Metalizado
Model S , 20 km,117.100 €,Pintura en color Gris Sigilo
2018 Model S ,0,27.000 €,Metalizada plateada medianoche
2018 Model S ,0,29.100 €,Metalizada plateada
2018 Model S ,0,29.500 €,Metalizada negra obsidiana
2018 Model S ,0,33.500 €,Pintura negra sólida
2018 Model S ,0,34.200 €,Pintura negra sólida
2020 Model S ,0,50.500 €,Multicapas Roja
2023 Model S ,0,79.500 €,Blanco Perla Multicapas
2023 Model S ,0,80.600 €,Negro Sólido
2023 Model S ,0,81.700 €,Blanco Perla Multicapas
2023 Model S ,0,83.500 €,Negro Sólido
2023 Model S ,0,84.400 €,Blanco Perla Multicapas
2023 Model S ,0,86.500 €,Ultra Rojo
2023 Model S ,0,87.400 €,Blanco Perla Multicapas
2023 Model S ,0,91.200 €,Negro Sólido
Model 3 , 5841 km,35.630 €,Pintura Plateado Mercurio
Model 3 , 5390 km,35.720 €,Pintura Plateado Mercurio
Model 3 , 6546 km,36.360 €,Azul Oscuro Metalizado
Model 3 ,0,36.470 €,Color Blanco Perla Multicapas
Model 3 , 5550 km,36.560 €,Azul Oscuro Metalizado
Model 3 , 7019 km,36.860 €,Pintura Plateado Mercurio
Model 3 , 5442 km,37.260 €,Pintura Plateado Mercurio
Model 3 , 5558 km,37.330 €,Color Negro Sólido
Model 3 ,0,37.820 €,Color Blanco Perla Multicapas
Model 3 ,0,38.070 €,Color Blanco Perla Multicapas
Model 3 ,0,38.070 €,Color Blanco Perla Multicapas
Model 3 ,0,38.470 €,Pintura Plateado Mercurio
Model 3 , 13 km,38.600 €,Pintura en color Ultra Rojo
Model 3 , 2712 km,38.750 €,Pintura en color Gris Sigilo
Model 3 ,0,38.870 €,Color Blanco Perla Multicapas
Model 3 , 13 km,39.050 €,Azul Oscuro Metalizado
Model 3 ,0,39.120 €,Azul Oscuro Metalizado
Model 3 ,0,39.370 €,Azul Oscuro Metalizado
Model 3 ,0,39.420 €,Color Blanco Perla Multicapas
Model 3 ,0,39.420 €,Color Blanco Perla Multicapas
Model 3 ,0,39.520 €,Pintura Plateado Mercurio
Model 3 ,0,39.820 €,Pintura Plateado Mercurio
Model 3 ,0,40.070 €,Pintura Plateado Mercurio
Model 3 ,0,41.470 €,Color Blanco Perla Multicapas
Model 3 ,0,42.770 €,Color Negro Sólido
Model 3 ,0,43.070 €,Color Blanco Perla Multicapas
Model 3 ,0,43.820 €,Color Negro Sólido
Model 3 ,0,44.370 €,Color Negro Sólido
Model 3 , 2204 km,45.980 €,Color Blanco Perla Multicapas
Model 3 , 4790 km,47.040 €,Color Blanco Perla Multicapas
Model 3 , 5533 km,47.610 €,Pintura Plateado Mercurio
Model 3 , 5450 km,47.630 €,Pintura Plateado Mercurio
Model 3 , 2051 km,47.700 €,Pintura en color Ultra Rojo
Model 3 , 223 km,48.340 €,Color Blanco Perla Multicapas
Model 3 , 13 km,48.460 €,Color Negro Sólido
Model 3 , 223 km,48.570 €,Color Negro Sólido
Model 3 ,0,48.760 €,Color Blanco Perla Multicapas
Model 3 , 1203 km,48.760 €,Pintura Plateado Mercurio
Model 3 , 25 km,49.120 €,Azul Oscuro Metalizado
Model 3 , 0 km,49.130 €,Pintura Plateado Mercurio
Model 3 , 4415 km,49.390 €,Pintura Plateado Mercurio
Model 3 ,0,49.810 €,Color Blanco Perla Multicapas
Model 3 , 440 km,50.000 €,Color Blanco Perla Multicapas
Model 3 ,0,50.060 €,Pintura en color Gris Sigilo
Model 3 ,0,50.060 €,Color Negro Sólido
Model 3 ,0,50.060 €,Azul Oscuro Metalizado
Model 3 ,0,50.060 €,Azul Oscuro Metalizado
Model 3 ,0,50.060 €,Color Negro Sólido
Model 3 , 3362 km,50.090 €,Azul Oscuro Metalizado
Model 3 , 15 km,50.110 €,Color Blanco Perla Multicapas
Model 3 ,0,50.110 €,Color Blanco Perla Multicapas
Model 3 , 13 km,50.470 €,Pintura Plateado Mercurio
Model 3 ,0,50.760 €,Pintura en color Ultra Rojo
Model 3 ,0,50.760 €,Pintura Plateado Mercurio
Model 3 ,0,51.110 €,Azul Oscuro Metalizado
Model 3 ,0,51.110 €,Color Negro Sólido
Model 3 ,0,51.110 €,Azul Oscuro Metalizado
Model 3 ,0,51.160 €,Color Blanco Perla Multicapas
Model 3 ,0,51.410 €,Color Blanco Perla Multicapas
Model 3 ,0,51.410 €,Azul Oscuro Metalizado
Model 3 ,0,51.410 €,Color Negro Sólido
Model 3 ,0,51.410 €,Azul Oscuro Metalizado
Model 3 ,0,51.410 €,Pintura en color Gris Sigilo
Model 3 ,0,51.660 €,Pintura en color Gris Sigilo
Model 3 ,0,51.660 €,Azul Oscuro Metalizado
Model 3 ,0,51.660 €,Color Negro Sólido
Model 3 ,0,51.710 €,Color Blanco Perla Multicapas
Model 3 ,0,51.810 €,Pintura en color Ultra Rojo
Model 3 , 0 km,52.110 €,Pintura Plateado Mercurio
Model 3 , 0 km,52.110 €,Pintura en color Ultra Rojo
Model 3 ,0,52.110 €,Pintura en color Ultra Rojo
Model 3 ,0,52.110 €,Pintura Plateado Mercurio
Model 3 ,0,52.110 €,Pintura en color Ultra Rojo
Model 3 ,0,52.360 €,Pintura Plateado Mercurio
Model 3 ,0,52.360 €,Pintura en color Ultra Rojo
Model 3 ,0,52.360 €,Pintura en color Ultra Rojo
Model 3 , 3543 km,52.380 €,Color Blanco Perla Multicapas
Model 3 , 21 km,52.460 €,Color Blanco Perla Multicapas
Model 3 , 3852 km,54.730 €,Color Negro Sólido
Model 3 , 3325 km,54.930 €,Pintura en color Gris Sigilo
Model 3 , 1726 km,55.460 €,Color Negro Sólido
Model 3 , 13 km,56.100 €,Pintura en color Gris Sigilo
Model 3 ,0,56.820 €,Pintura en color Ultra Rojo
Model 3 , 21 km,57.050 €,Pintura en color Ultra Rojo
Model 3 ,0,58.470 €,Color Blanco Perla Multicapas
Model 3 ,0,59.470 €,Pintura Plateado Mercurio
Model 3 ,0,59.770 €,Azul Oscuro Metalizado
Model 3 ,0,59.770 €,Color Negro Sólido
2019 Model 3 ,0,31.400 €,Color Negro Sólido
2022 Model 3 ,0,31.600 €,Color Negro Sólido
2021 Model 3 ,0,33.200 €,Color Multicapas Rojo
2021 Model 3 ,0,34.100 €,Color Multicapas Rojo
2021 Model 3 ,0,34.900 €,Color Negro Sólido
2023 Model 3 ,0,35.100 €,Color Blanco Perla Multicapas
2021 Model 3 ,0,35.300 €,Color Multicapas Rojo
2021 Model 3 ,0,35.900 €,Plata Medianoche Metalizado
2021 Model 3 ,0,35.900 €,Color Multicapas Rojo
2021 Model 3 ,0,36.300 €,Color Negro Sólido
2024 Model 3 ,0,36.700 €,Color Blanco Perla Multicapas
2024 Model 3 ,0,36.800 €,Color Blanco Perla Multicapas
2024 Model 3 ,0,37.000 €,Color Blanco Perla Multicapas
2022 Model 3 ,0,37.100 €,Color Multicapas Rojo
2024 Model 3 ,0,37.300 €,Color Blanco Perla Multicapas
2024 Model 3 ,0,37.300 €,Color Blanco Perla Multicapas
2024 Model 3 ,0,37.500 €,Color Blanco Perla Multicapas
2022 Model 3 ,0,37.900 €,Azul Oscuro Metalizado
2020 Model 3 ,0,39.600 €,Color Negro Sólido
2024 Model 3 ,0,42.500 €,Pintura en color Ultra Rojo
2023 Model 3 ,0,47.700 €,Color Blanco Perla Multicapas
2023 Model 3 ,0,50.100 €,Color Multicapas Rojo
Model X , 1703 km,91.210 €,Azul Oscuro Metalizado
Model X , 3633 km,96.120 €,Blanco Perla Multicapas
Model X , 5175 km,100.710 €,Blanco Perla Multicapas
Model X , 3691 km,100.960 €,Negro Sólido
Model X , 800 km,101.340 €,Blanco Perla Multicapas
Model X , 1405 km,103.050 €,Blanco Perla Multicapas
Model X , 3958 km,103.250 €,Negro Sólido
Model X ,0,104.370 €,Blanco Perla Multicapas
Model X , 195 km,105.010 €,Pintura en color Gris Sigilo
Model X , 23 km,110.100 €,Color Plateado Lunar
Model X ,0,110.270 €,Blanco Perla Multicapas
Model X ,0,110.370 €,Negro Sólido
Model X , 2884 km,110.520 €,Negro Sólido
Model X , 1442 km,111.210 €,Pintura en color Gris Sigilo
Model X ,0,111.370 €,Ultra Rojo
Model X , 33 km,112.420 €,Color Plateado Lunar
Model X ,0,112.770 €,Negro Sólido
Model X ,0,112.770 €,Azul Oscuro Metalizado
Model X ,0,113.570 €,Blanco Perla Multicapas
Model X ,0,113.770 €,Pintura en color Gris Sigilo
Model X ,0,113.770 €,Pintura en color Gris Sigilo
Model X , 33 km,114.050 €,Pintura en color Gris Sigilo
Model X ,0,114.670 €,Blanco Perla Multicapas
Model X ,0,114.770 €,Ultra Rojo
Model X ,0,115.670 €,Blanco Perla Multicapas
Model X ,0,116.170 €,Negro Sólido
Model X ,0,117.270 €,Ultra Rojo
Model X ,0,118.070 €,Plata Medianoche Metalizado
Model X ,0,118.070 €,Blanco Perla Multicapas
Model X , 92 km,118.070 €,Blanco Perla Multicapas
Model X , 0 km,119.620 €,Color Plateado Lunar
Model X ,0,119.670 €,Negro Sólido
Model X ,0,119.670 €,Pintura en color Gris Sigilo
Model X ,0,120.670 €,Ultra Rojo
Model X , 25 km,120.720 €,Ultra Rojo
Model X , 29 km,120.970 €,Color Plateado Lunar
Model X ,0,121.870 €,Blanco Perla Multicapas
Model X ,0,123.670 €,Negro Sólido
Model X ,0,126.870 €,Ultra Rojo
2018 Model X ,0,52.000 €,Metalizada azul profundo
2023 Model X ,0,83.500 €,Blanco Perla Multicapas
2023 Model X ,0,84.000 €,Negro Sólido
2023 Model X ,0,84.500 €,Negro Sólido
2023 Model X ,0,84.500 €,Negro Sólido
2023 Model X ,0,85.500 €,Negro Sólido
2023 Model X ,0,86.500 €,Plata Medianoche Metalizado
2023 Model X ,0,87.600 €,Blanco Perla Multicapas
Model Y , 5915 km,39.560 €,Color Negro Sólido
Model Y , 2785 km,40.240 €,Color Negro Sólido
Model Y , 3448 km,40.410 €,Pintura Plateado Mercurio
Model Y , 2580 km,40.610 €,Pintura Plateado Mercurio
Model Y ,0,40.970 €,Color Blanco Perla Multicapas
Model Y , 6282 km,41.290 €,Color Blanco Perla Multicapas
Model Y , 6998 km,41.390 €,Azul Oscuro Metalizado
Model Y , 4891 km,41.810 €,Color Negro Sólido
Model Y ,0,42.270 €,Color Negro Sólido
Model Y ,0,42.270 €,Azul Oscuro Metalizado
Model Y , 1317 km,42.550 €,Color Blanco Perla Multicapas
Model Y , 5128 km,42.790 €,Azul Oscuro Metalizado
Model Y , 5 km,42.960 €,Color Blanco Perla Multicapas
Model Y , 18 km,43.450 €,Pintura Plateado Mercurio
Model Y , 1011 km,43.500 €,Pintura Rojo Cereza Medianoche
Model Y ,0,43.570 €,Pintura Rojo Cereza Medianoche
Model Y ,0,44.120 €,Color Blanco Perla Multicapas
Model Y ,0,44.370 €,Azul Oscuro Metalizado
Model Y ,0,44.370 €,Color Negro Sólido
Model Y ,0,44.420 €,Color Blanco Perla Multicapas
Model Y , 7461 km,44.740 €,Color Blanco Perla Multicapas
Model Y , 7085 km,44.820 €,Color Blanco Perla Multicapas
Model Y ,0,44.920 €,Pintura Plateado Mercurio
Model Y , 9230 km,44.940 €,Color Blanco Perla Multicapas
Model Y , 11.245 km,45.040 €,Color Negro Sólido
Model Y , 16.524 km,45.540 €,Pintura Plateado Mercurio
Model Y , 7867 km,45.580 €,Color Blanco Perla Multicapas
Model Y , 7753 km,45.700 €,Color Blanco Perla Multicapas
Model Y , 2036 km,45.800 €,Color Blanco Perla Multicapas
Model Y , 28 km,45.870 €,Color Blanco Perla Multicapas
Model Y , 3438 km,45.890 €,Color Blanco Perla Multicapas
Model Y , 4569 km,46.040 €,Azul Oscuro Metalizado
Model Y , 7 km,46.200 €,Color Blanco Perla Multicapas
Model Y , 29 km,46.200 €,Color Blanco Perla Multicapas
Model Y , 400 km,46.610 €,Color Blanco Perla Multicapas
Model Y , 3945 km,46.950 €,Pintura Rojo Cereza Medianoche
Model Y , 1991 km,47.020 €,Color Blanco Perla Multicapas
Model Y , 3144 km,47.120 €,Pintura Rojo Cereza Medianoche
Model Y , 3177 km,47.340 €,Color Blanco Perla Multicapas
Model Y , 4462 km,47.670 €,Color Blanco Perla Multicapas
Model Y , 2501 km,47.730 €,Azul Oscuro Metalizado
Model Y , 2923 km,48.220 €,Pintura Rojo Cereza Medianoche
Model Y , 2332 km,48.220 €,Color Blanco Perla Multicapas
Model Y , 2857 km,48.240 €,Azul Oscuro Metalizado
Model Y ,0,48.470 €,Color Blanco Perla Multicapas
Model Y ,0,48.470 €,Color Blanco Perla Multicapas
Model Y ,0,48.470 €,Color Blanco Perla Multicapas
Model Y ,0,48.470 €,Color Blanco Perla Multicapas
Model Y ,0,48.860 €,Color Blanco Perla Multicapas
Model Y , 6277 km,48.870 €,Pintura Plateado Mercurio
Model Y , 3185 km,49.150 €,Pintura Plateado Mercurio
Model Y , 1515 km,49.260 €,Color Negro Sólido
Model Y ,0,49.410 €,Azul Oscuro Metalizado
Model Y ,0,49.410 €,Color Negro Sólido
Model Y ,0,49.520 €,Color Blanco Perla Multicapas
Model Y ,0,49.770 €,Color Negro Sólido
Model Y ,0,49.770 €,Color Negro Sólido
Model Y , 10 km,49.800 €,Color Negro Sólido
Model Y , 26 km,49.860 €,Color Blanco Perla Multicapas
Model Y ,0,49.910 €,Color Blanco Perla Multicapas
Model Y , 118 km,49.920 €,Color Blanco Perla Multicapas
Model Y , 26 km,49.930 €,Color Blanco Perla Multicapas
Model Y , 3597 km,50.090 €,Pintura Plateado Mercurio
Model Y ,0,50.160 €,Color Negro Sólido
Model Y , 565 km,50.410 €,Color Blanco Perla Multicapas
Model Y , 7 km,50.430 €,Pintura Plateado Mercurio
Model Y , 4042 km,50.500 €,Pintura Rojo Cereza Medianoche
Model Y ,0,50.570 €,Color Blanco Perla Multicapas
Model Y ,0,50.570 €,Color Blanco Perla Multicapas
Model Y ,0,50.570 €,Color Blanco Perla Multicapas
Model Y , 9 km,50.960 €,Color Blanco Perla Multicapas
Model Y ,0,51.070 €,Pintura Rojo Cereza Medianoche
Model Y , 4 km,51.170 €,Pintura Plateado Mercurio
Model Y ,0,51.620 €,Color Blanco Perla Multicapas
Model Y , 831 km,51.730 €,Pintura Plateado Mercurio
Model Y ,0,51.760 €,Pintura Plateado Mercurio
Model Y , 334 km,52.130 €,Pintura Plateado Mercurio
Model Y ,0,52.420 €,Pintura Plateado Mercurio
Model Y ,0,53.170 €,Pintura Rojo Cereza Medianoche
Model Y , 2115 km,55.290 €,Color Blanco Perla Multicapas
Model Y , 0 km,55.710 €,Color Blanco Perla Multicapas
Model Y ,0,55.730 €,Pintura Plateado Mercurio
Model Y , 612 km,56.810 €,Azul Oscuro Metalizado
Model Y , 10 km,56.950 €,Pintura Plateado Mercurio
Model Y , 95 km,56.950 €,Pintura Plateado Mercurio
Model Y , 9 km,57.220 €,Color Blanco Perla Multicapas
Model Y ,0,57.700 €,Color Negro Sólido
Model Y , 7 km,58.500 €,Color Blanco Perla Multicapas
Model Y , 179 km,58.960 €,Pintura Rojo Cereza Medianoche
Model Y ,0,58.970 €,Color Blanco Perla Multicapas
Model Y ,0,58.970 €,Azul Oscuro Metalizado
Model Y , 54 km,59.440 €,Pintura Plateado Mercurio
Model Y ,0,61.320 €,Color Negro Sólido
Model Y , 396 km,61.500 €,Color Negro Sólido
Model Y ,0,61.620 €,Color Negro Sólido
Model Y ,0,61.620 €,Color Negro Sólido
Model Y ,0,62.620 €,Pintura Rojo Cereza Medianoche
Model Y ,0,65.370 €,Pintura Plateado Mercurio
Model Y ,0,66.420 €,Pintura Rojo Cereza Medianoche
2024 Model Y ,0,40.500 €,Pintura Plateado Mercurio
2023 Model Y ,0,46.800 €,Color Negro Sólido
